FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	118	2	36	66	-1	(-)3xSLv1	NegativeControl	12692.3	353.224	3.92E+00	3.95E+00	54.5	48	1.77E+01	0	0	0	0	0	0	-5.09309	0	0	65	53.2726
DATA	119	2	37	0	0	A_07_P019861	b2596	12735.3	353.571	1.32E+02	1.37E+01	169	48	1.60E+01	0	0	0	0	0	0	113.381	1	1	44.2664	51.1534
DATA	120	2	38	66	-1	(-)3xSLv1	NegativeControl	12778	353	3.87E+00	3.91E+00	54	49	1.72E+01	0	0	0	0	0	0	-3.30508	0	0	65	53.0628
DATA	121	2	39	0	0	A_07_P012726	b3251	12820.3	353	4.23E+04	4.23E+03	34589	50	1.62E+01	0	0	0	0	0	0	36815.2	1	1	54.0563	52.2933
DATA	122	2	40	0	0	A_07_P047440	Z5888	12861.4	352.258	1.18E+02	1.24E+01	161.5	49	1.60E+01	0	0	0	0	0	0	103.062	1	1	42.5505	52.6036
DATA	123	2	41	0	0	A_07_P030781	c_0352	12905	353	3.51E+04	3.51E+03	29593	49	1.56E+01	0	0	0	0	0	0	30834.1	1	1	54.2679	51.7749
DATA	124	2	42	0	0	A_07_P021086	b0395	12946.7	352.061	3.05E+01	4.90E+00	83	48	1.70E+01	0	0	0	0	0	0	26.9605	1	1	36.1434	52.2054
DATA	125	2	43	0	0	A_07_P035086	c_2001	12989.4	353.256	2.58E+03	2.58E+02	2260	48	1.68E+01	0	0	0	0	0	0	2286.2	1	1	49.7512	52.6
DATA	126	2	44	0	0	A_07_P039691	c_4409	13032	353.256	8.09E+01	8.94E+00	129.5	49	1.69E+01	0	0	0	0	0	0	72.0647	1	1	45.5424	53.0102
DATA	127	2	45	66	-1	(-)3xSLv1	NegativeControl	13074.2	353.044	3.75E+00	3.78E+00	55	49	1.69E+01	0	0	0	0	0	0	-1.89236	0	0	54.2679	53.104
DATA	128	2	46	0	0	A_07_P032131	c_2621	13114.8	352.638	7.51E+01	8.40E+00	120	51	1.80E+01	0	0	0	0	0	0	67.3589	1	1	41.4593	54.0281
DATA	129	2	47	0	0	A_07_P038912	c_1755	13158.2	353.205	5.52E+03	5.52E+02	4689.5	47	1.71E+01	0	0	0	0	0	0	4968.13	1	1	48.3494	52.3756
DATA	130	2	48	66	-1	(-)3xSLv1	NegativeControl	13201.2	353.044	3.71E+00	3.75E+00	54	50	1.62E+01	0	0	0	0	0	0	-4.81135	0	0	54.2679	52.7543
DATA	131	2	49	66	-1	(-)3xSLv1	NegativeControl	13243.6	353.429	3.70E+00	3.74E+00	56	50	1.76E+01	0	0	0	0	0	0	-0.836546	0	0	65	53.6715
DATA	132	2	50	0	0	A_07_P017488	b4358	13285.1	353.519	2.27E+02	2.30E+01	262	50	1.70E+01	0	0	0	0	0	0	205.839	1	1	48.9384	53.6178
DATA	133	2	51	0	0	A_07_P040180	c_4560	13328.4	353.144	2.34E+02	2.37E+01	269	50	1.65E+01	0	0	0	0	0	0	212.914	1	1	47.1495	52.9982
DATA	134	2	52	0	0	A_07_P047944	Z2143	13370.5	353.393	1.68E+03	1.68E+02	1572	48.5	1.62E+01	0	0	0	0	0	0	1529.53	1	1	49.4045	52.4634
DATA	135	2	53	0	0	A_07_P033816	c_1031	13412.6	353.029	2.38E+02	2.41E+01	278	47.5	1.77E+01	0	0	0	0	0	0	217.159	1	1	48.1118	52.9845
DATA	136	2	54	0	1	RC7	RC7	13455.2	353.41	3.67E+00	3.70E+00	52.5	50	1.73E+01	0	0	0	0	0	0	-6.79674	0	0	56.4415	53.3569
